ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_stat,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID153154958,3/204 The Boulevard,IVANHOE EAST,405000.0,u,28/08/2016,1,1.0,1.0,0.0,59.0,-37.7767,145.0543,19933,1168.0439845255003,26.058823529411764,0,87.33333333333333,252.0,37.0
ID528941511,2/31 Moonya Rd,CARNEGIE,600000.0,u,3/12/2016,2,1.0,1.0,73.0,49.0,-37.897,145.0593,19919,1037.5157381103645,25.375,0,3703.6666666666665,18944.0,2039.3333333333333
ID869322367,14 Venetian Ct,CROYDON,858000.0,h,16/09/2017,3,1.0,2.0,857.0,59.0,-37.80244,145.29711,19878,1648.3852050912424,45.76923076923077,0,1083.6666666666667,3612.6666666666665,368.3333333333333
ID237353678,61 Pardy St,PASCOE VALE,940000.0,h,29/07/2017,3,1.0,1.0,559.0,64.0,-37.7327,144.92966,20034,251.8972900870627,31.0,1,705.3333333333334,5479.666666666667,335.0
ID314386227,5/3 Ruskin St,ELWOOD,825000.0,u,7/11/2016,2,1.0,2.0,0.0,89.0,-37.874,144.9819,19956,1137.3111642551698,17.5,0,1566.6666666666667,8895.333333333334,491.0
ID322330079,9/2 Alfriston St,ELWOOD,369000.0,u,18/03/2017,1,1.0,1.0,1547.0,49.0,-37.8749,144.9903,19955,447.99934324421764,19.5,0,1666.0,9333.666666666666,523.0
ID600273307,13 Patricia St,BOX HILL,1525000.0,h,12/08/2017,3,1.0,1.0,904.0,54.0,-37.82694,145.12465,20042,904.6632948745939,25.775,0,2897.3333333333335,11243.0,942.0
ID313675719,32 Ringtail Cct,MAIDSTONE,826000.0,h,3/09/2016,4,2.0,2.0,308.0,7.0,-37.7833,144.8817,20023,2084.862992253106,19.4,0,610.0,1743.6666666666667,228.0
ID984598508,2 Boyd St,ALBERT PARK,2905000.0,h,3/06/2017,2,1.0,1.0,254.0,59.0,-37.84583,144.95658,19958,2954.011555964031,13.5,0,1214.6666666666667,5603.666666666667,375.3333333333333
ID474258089,108 Sunset Bvd,JACANA,425000.0,h,16/04/2016,3,1.0,2.0,650.0,44.0,-37.687,144.9084,20030,1081.297335369419,40.0,0,87.33333333333333,252.0,37.0
ID460535441,50 Milleara Rd,KEILOR EAST,850000.0,h,12/08/2017,3,1.0,1.0,597.0,69.0,-37.73305,144.86526,20036,5148.556719093338,27.0,0,591.6666666666666,1189.6666666666667,177.33333333333334
ID563867852,2/34 Linacre Rd,HAMPTON,665000.0,u,20/05/2017,2,1.0,1.0,136.0,49.0,-37.9427,145.0052,19949,619.3801116324935,31.5,0,1841.6666666666667,9184.666666666666,533.3333333333334
ID114425676,22 Warrick Ct,AVONDALE HEIGHTS,1600000.0,h,10/12/2016,4,3.0,3.0,1801.0,49.0,-37.7532,144.8766,20037,3499.073445977012,24.0,1,1654.0,9119.666666666666,550.0
ID524873042,9 Ryland St,COBURG NORTH,841000.0,h,16/09/2017,3,1.0,3.0,533.0,59.0,-37.72631,144.96274,19963,611.4903848258559,36.0,0,1097.6666666666667,5916.0,553.3333333333334
ID353914600,43 Henshall Rd,STRATHMORE,1430000.0,h,16/04/2016,4,2.0,1.0,607.0,29.0,-37.7376,144.9154,20036,1175.6057882836649,27.0,0,1363.6666666666667,6287.666666666667,564.3333333333334
ID156788920,3 Henderson Rd,TULLAMARINE,821000.0,h,1/07/2017,4,1.0,6.0,763.0,3.0,-37.69048,144.87312,20031,3799.366334424232,38.0,0,256.0,511.3333333333333,54.666666666666664
ID478124210,3/11 Ormond Rd,ORMOND,410000.0,u,26/07/2016,2,1.0,1.0,0.0,49.0,-37.903,145.0452,19941,491.2619422341261,32.15384615384615,0,268.3333333333333,736.0,128.33333333333334
ID400700808,2/225 Maribyrnong Rd,ASCOT VALE,705000.0,t,18/06/2016,2,2.0,1.0,113.0,21.0,-37.7712,144.9088,20038,1097.779012021453,22.0,0,2489.6666666666665,11817.333333333334,1268.6666666666667
ID433828257,8/67 Denham St,HAWTHORN,415000.0,u,24/09/2016,1,1.0,1.0,0.0,129.0,-37.8192,145.0221,19905,300.63746002761724,13.952380952380953,0,1150.6666666666667,7827.0,922.3333333333334
ID611163597,470 Waterdale Rd,HEIDELBERG HEIGHTS,631000.0,h,30/07/2016,3,1.0,1.0,596.0,59.0,-37.7432,145.0479,19936,1606.0101124669497,31.75,0,1150.6666666666667,7827.0,922.3333333333334
ID270796837,34/530 Toorak Rd,TOORAK,517500.0,u,4/03/2017,2,1.0,1.0,0.0,99.0,-37.8424,145.0184,19909,937.3312309253371,31.75,0,647.0,2861.3333333333335,222.66666666666666
ID407749462,2/25 Fernhill St,GLEN WAVERLEY,960000.0,u,15/07/2017,2,1.0,1.0,229.0,29.0,-37.87606,145.15951,19873,443.9459309411724,31.75,0,56.333333333333336,98.33333333333333,19.0
ID871333616,296 Gooch St,THORNBURY,740000.0,h,14/05/2016,2,1.0,2.0,467.0,61.0,-37.7606,145.0241,19932,2038.8136060989912,26.0,0,2403.6666666666665,5212.333333333333,586.6666666666666
ID770565215,1/107 Warrigal Rd,MENTONE,455000.0,u,17/06/2017,2,1.0,1.0,3160.0,49.0,-37.97946,145.07166999999995,19865,630.3785086614295,44.6875,0,50.333333333333336,68.0,12.0
ID979418325,52 Monash St,LALOR,580500.0,h,29/07/2017,3,1.0,1.0,532.0,39.0,-37.66101,145.02568,20006,921.7720451253236,42.22222222222222,0,1360.6666666666667,6408.666666666667,691.6666666666666
ID970132001,4 Besant St,HAMPTON EAST,1070000.0,h,19/11/2016,3,1.0,3.0,583.0,49.0,-37.9428,145.0296,19937,1129.9705748194172,38.266666666666666,0,1150.6666666666667,7827.0,922.3333333333334
ID921334071,3/8 Green St,IVANHOE,855000.0,t,10/12/2016,3,2.0,2.0,0.0,39.0,-37.765,145.0422,19933,518.3691977011166,26.058823529411764,0,555.6666666666666,1129.0,160.66666666666666
ID636409771,198 Gipps St,ABBOTSFORD,1242000.0,h,29/04/2017,2,1.0,1.0,249.0,79.0,-37.8052,144.9963,19976,236.5247555532517,12.235294117647058,0,1214.6666666666667,5603.666666666667,375.3333333333333
ID916923753,1/14 Edgar St,HEIDELBERG,850000.0,h,24/09/2016,3,2.0,2.0,285.0,9.0,-37.7491,145.0702,19936,779.3058850350152,31.75,0,1144.3333333333333,6845.666666666667,375.6666666666667
ID443583807,1/183 Kooyong Rd,TOORAK,857000.0,u,22/08/2016,2,0.0,0.0,0.0,56.0,-37.8458,145.0221,19946,908.2893944940628,18.214285714285715,0,584.3333333333334,2731.6666666666665,211.66666666666666
ID918098322,5/15 Dickens St,ELWOOD,686000.0,u,16/04/2016,2,1.0,1.0,1622.0,49.0,-37.8716,144.9869,19956,626.8033908751735,17.5,1,1566.6666666666667,8895.333333333334,491.0
ID396969145,294 Moray St,SOUTH MELBOURNE,1355000.0,h,3/12/2016,2,1.0,0.0,101.0,107.0,-37.8359,144.9644,22238,1971.5446482327757,3.5,0,1100.6666666666667,3636.3333333333335,457.3333333333333
ID132367025,315 Elizabeth Dr,SUNBURY,500000.0,h,22/07/2017,3,1.0,3.0,678.0,44.0,-37.56935,144.7241,15351,1120.9060995354591,45.75,0,1479.3333333333333,4398.666666666667,502.0
ID885606973,106 Malpas St,PRESTON,880000.0,h,16/09/2017,3,1.0,0.0,480.0,129.0,-37.73346,145.01506,20011,1219.4996449877458,31.2,0,705.3333333333334,5479.666666666667,335.0
ID984877714,33 Bunbury St,NEWPORT,1700000.0,h,20/05/2017,1,1.0,0.0,622.0,2.0,-37.8497,144.8903,19993,856.5920482323828,20.857142857142858,0,84.33333333333333,293.3333333333333,23.0
ID314482483,50 Lucas St,BRIGHTON EAST,2550000.0,h,12/11/2016,5,3.0,2.0,915.0,59.0,-37.9231,145.0104,19951,1523.020325929958,26.5,0,2744.3333333333335,10289.666666666666,780.0
ID321795920,1/8 Estella St,GLEN IRIS,1350000.0,t,16/07/2016,4,2.0,2.0,342.0,59.0,-37.8622,145.0634,19835,557.1945884573047,26.5,0,1923.6666666666667,8979.333333333334,620.3333333333334
ID256508930,35 Douglas St,ASHWOOD,1365000.0,h,10/09/2016,3,1.0,1.0,792.0,69.0,-37.864,145.0972,19839,1292.6395418826364,26.5,0,1654.0,9119.666666666666,550.0
ID818004193,111 Rutherford Rd,VIEWBANK,1085000.0,h,22/08/2016,4,3.0,2.0,599.0,59.0,-37.7397,145.0934,19936,2425.5544298324785,31.75,0,584.3333333333334,2731.6666666666665,211.66666666666666
ID783783659,13 Shaftsbury St,COBURG,1742000.0,h,15/10/2016,4,2.0,4.0,482.0,13.0,-37.7529,144.9534,19966,762.0381064497018,30.0,0,1071.3333333333333,5783.666666666667,419.6666666666667
ID753586888,306/350 Victoria St,NORTH MELBOURNE,630000.0,u,24/09/2016,2,1.0,1.0,0.0,17.0,-37.8055,144.9547,19841,726.3400400351437,2.897810218978102,1,71.0,261.0,20.0
ID244418969,33 Rainsford Tce,CAMPBELLFIELD,445000.0,h,20/05/2017,3,1.0,2.0,534.0,6.0,-37.6741,144.9698,19960,2219.453896877953,43.0,0,101.33333333333333,253.66666666666666,33.0
ID595800940,2/509 St Kilda St,ELWOOD,878500.0,h,12/11/2016,3,2.0,1.0,75.0,17.0,-37.8843,144.9917,19954,809.6703094264943,21.5,0,1566.6666666666667,8895.333333333334,491.0
ID363159672,3 Clive Ct,AVONDALE HEIGHTS,950000.0,h,10/12/2016,4,3.0,3.0,761.0,49.0,-37.7524,144.8714,20037,3963.174932217489,24.0,0,1654.0,9119.666666666666,550.0
ID153947853,42 Sadie St,GLENROY,822000.0,h,4/03/2017,3,1.0,4.0,700.0,69.0,-37.6988,144.9438,19961,1344.0589908502502,39.0,0,1841.6666666666667,9184.666666666666,533.3333333333334
ID454463915,18 Inglis St,WILLIAMSTOWN NORTH,1225000.0,h,27/11/2016,3,1.0,1.0,311.0,99.0,-37.8546,144.8762,19993,1171.3242448252681,20.857142857142858,0,1002.6666666666666,4068.0,328.3333333333333
ID869122174,85 Nepean Hwy,ASPENDALE,1300000.0,h,16/09/2017,3,2.0,2.0,673.0,69.0,-38.02094,145.09736999999996,19862,815.1058474036616,52.53846153846154,0,85.66666666666667,161.33333333333334,20.333333333333332
ID188605402,251 Albion St,BRUNSWICK,1650000.0,h,29/04/2017,4,2.0,4.0,670.0,59.0,-37.7602,144.9591,19967,181.3509819954473,27.333333333333332,0,941.3333333333334,5813.0,575.6666666666666
ID592907977,10/26 Redfern Rd,HAWTHORN EAST,1110000.0,t,8/10/2016,3,2.0,2.0,94.0,14.0,-37.8302,145.0525,19853,678.5522069563262,19.09090909090909,0,1144.3333333333333,6845.666666666667,375.6666666666667
ID554282305,11 Beevers St,ALTONA NORTH,708000.0,h,15/10/2016,3,1.0,2.0,585.0,59.0,-37.8258,144.8523,19995,3005.8497052575003,14.333333333333334,0,2489.6666666666665,11817.333333333334,1268.6666666666667
ID307649786,24 Butler St,RICHMOND,937000.0,h,3/09/2016,2,1.0,1.0,125.0,69.0,-37.8106,144.994,19977,133.79124253074323,10.235294117647058,0,824.6666666666666,1890.3333333333333,159.33333333333334
ID796784151,37 Alamein Rd,HEIDELBERG WEST,392000.0,h,28/05/2016,3,1.0,2.0,372.0,59.0,-37.7383,145.0414,19936,2236.693867663723,31.75,0,1150.6666666666667,7827.0,922.3333333333334
ID412597221,909/118 Kavanagh St,SOUTHBANK,430000.0,u,12/11/2016,2,2.0,0.0,2295.0,5.0,-37.8256,144.9622,22238,913.740815944127,3.5,0,1100.6666666666667,3636.3333333333335,457.3333333333333
ID214787720,10 Jack Rd,CHELTENHAM,1200000.0,h,12/08/2017,4,2.0,4.0,679.0,59.0,-37.96098,145.04275,52095,611.5198160908242,42.166666666666664,0,1288.3333333333333,4242.333333333333,480.0
ID357947920,10 Malcolm Rd,CROYDON NORTH,820000.0,h,17/06/2017,4,2.0,2.0,841.0,3.0,-37.76917,145.29265,19877,2455.1527163225846,49.76923076923077,0,84.66666666666667,371.6666666666667,13.0
ID737282322,14 Derham St,SPOTSWOOD,1300000.0,h,27/05/2017,4,2.0,2.0,730.0,26.0,-37.8257,144.87552,19995,1067.9761179870825,14.333333333333334,0,1245.0,3886.0,447.6666666666667
ID477258583,2/3 Coane St,ORMOND,973000.0,u,15/10/2016,3,2.0,2.0,379.0,17.0,-37.8981,145.0367,19941,623.9138933375546,32.15384615384615,0,268.3333333333333,736.0,128.33333333333334
ID730202848,1/7 Dalston Rd,HUGHESDALE,1203500.0,u,27/05/2017,3,2.0,2.0,311.0,19.0,-37.89829,145.08141,19918,503.92224630152407,27.35483870967742,0,591.6666666666666,1189.6666666666667,177.33333333333334
ID885779884,22 Dyson St,RESERVOIR,510000.0,h,12/08/2017,3,2.0,2.0,292.0,69.0,-37.71331,144.9871,20010,1796.6282271363418,34.2,0,885.0,1901.0,227.66666666666666
ID789716367,5 Valdemar Ct,BRIGHTON EAST,1743000.0,h,13/05/2017,3,1.0,2.0,590.0,94.0,-37.9287,145.0273,19938,819.0667272933587,36.84615384615385,0,2897.3333333333335,11243.0,942.0
ID962602839,5/171 Hotham St,BALACLAVA,490000.0,u,29/04/2017,2,1.0,0.0,601.0,59.0,-37.8757,144.998,19955,243.90131721629893,19.5,0,1672.6666666666667,10063.666666666666,646.3333333333334
ID917603126,9 Marama St,COBURG NORTH,1009000.0,h,12/11/2016,4,1.0,2.0,590.0,69.0,-37.7197,144.9585,19963,283.26838824789974,36.0,0,1071.3333333333333,5783.666666666667,419.6666666666667
ID400903632,8 Elliminya Ct,CLARINDA,976000.0,h,29/07/2017,5,3.0,2.0,537.0,9.0,-37.93759,145.10028,19915,2286.2671989048713,34.25806451612903,0,52.333333333333336,131.33333333333334,10.333333333333334
ID205845421,13 Surman Ct,SUNSHINE NORTH,480000.0,h,6/08/2016,3,1.0,2.0,546.0,41.0,-37.7555,144.8295,20003,1767.9622471008215,29.375,0,1363.6666666666667,6287.666666666667,564.3333333333334
ID312023907,2/28 Broadmeadows Rd,TULLAMARINE,470000.0,u,15/07/2017,2,1.0,1.0,161.0,59.0,-37.70586,144.87947,20032,3327.961684224334,36.0,0,256.0,511.3333333333333,54.666666666666664
ID409321193,1 Meagher St,WATSONIA,741000.0,h,12/11/2016,3,1.0,1.0,671.0,59.0,-37.7072,145.0855,19984,444.5066176737815,37.666666666666664,0,584.3333333333334,2731.6666666666665,211.66666666666666
ID874055115,8/1277 Toorak Rd,CAMBERWELL,530000.0,u,17/09/2016,2,1.0,1.0,0.0,59.0,-37.8491,145.086,19849,554.942379245214,28.666666666666668,0,3703.6666666666665,18944.0,2039.3333333333333
ID297970733,151 Perry St,FAIRFIELD,1280000.0,h,19/08/2017,4,2.0,2.0,485.0,99.0,-37.77044,145.02465,19931,1059.0712133872319,24.0,0,330.3333333333333,1855.0,82.0
ID412954294,4 Milverton St,MOONEE PONDS,1833000.0,h,16/04/2016,4,1.0,1.0,583.0,129.0,-37.7682,144.9151,20038,452.4587830782969,22.0,0,278.0,489.0,65.0
ID142565861,20 Northcliffe Rd,EDITHVALE,1100000.0,h,26/08/2017,3,2.0,4.0,737.0,79.0,-38.04214,145.11372,19861,642.8619644828505,54.15384615384615,0,235.66666666666666,506.6666666666667,74.0
ID330548269,11 Page St,CLIFTON HILL,1370000.0,h,13/08/2016,3,2.0,1.0,176.0,129.0,-37.7921,144.9898,19974,625.2878956868049,15.142857142857142,0,1071.3333333333333,5783.666666666667,419.6666666666667
ID947172763,7A Brunel St,SOUTH KINGSVILLE,815000.0,t,13/05/2017,3,2.0,2.0,148.0,69.0,-37.8287,144.8705,19995,1374.0038662496895,14.333333333333334,1,987.3333333333334,2150.3333333333335,212.0
ID684803467,30 Don Av,HOPPERS CROSSING,536500.0,h,15/07/2017,3,2.0,4.0,578.0,47.0,-37.87326,144.69103,19922,1415.4970730479934,32.142857142857146,0,512.0,1119.6666666666667,175.66666666666666
ID747520430,46A Collins St,ST ALBANS,460000.0,t,17/06/2017,3,1.0,1.0,160.0,19.0,-37.73915,144.80289,20002,683.1380256626131,31.375,0,1479.3333333333333,4398.666666666667,502.0
ID846187900,61/120 Sturt St,SOUTHBANK,642500.0,u,17/06/2017,2,1.0,1.0,8888.0,25.0,-37.82481,144.96669,22238,724.5045475295972,3.5,0,1245.0,3886.0,447.6666666666667
ID920098456,8 Mistletoe Cl,KNOXFIELD,1010000.0,h,27/05/2017,4,2.0,2.0,620.0,25.0,-37.88308,145.24953,19869,3965.55504425045,48.18181818181818,0,235.66666666666666,506.6666666666667,74.0
ID944564885,2/65 Westbank Tce,RICHMOND,500000.0,u,3/09/2016,1,1.0,1.0,0.0,18.0,-37.8226,145.013,19906,730.8098407667441,11.904761904761905,1,824.6666666666666,1890.3333333333333,159.33333333333334
ID368912530,5 Alice St,CHELTENHAM,1100000.0,h,23/09/2017,3,2.0,2.0,603.0,15.0,-37.97462,145.07906,19865,1461.7805720130439,44.6875,0,1288.3333333333333,4242.333333333333,480.0
ID902982950,1 Nunan St,BRUNSWICK EAST,856000.0,h,3/12/2016,4,2.0,2.0,136.0,22.0,-37.7601,144.9805,20015,1523.544909417251,23.3,0,703.6666666666666,1502.0,135.66666666666666
ID358900536,23 Glengala Rd,SUNSHINE WEST,547500.0,h,18/06/2016,3,1.0,2.0,603.0,69.0,-37.7891,144.82299999999995,22241,871.2586752411195,15.85,0,2403.6666666666665,5212.333333333333,586.6666666666666
ID658037161,54 Pentland Pde,YARRAVILLE,2450000.0,h,29/07/2017,6,3.0,2.0,1087.0,99.0,-37.81038,144.89389,19997,219.02575736358207,10.357142857142858,0,817.6666666666666,1779.6666666666667,181.0
ID290809438,75 Ballard St,YARRAVILLE,970000.0,h,27/06/2016,4,1.0,2.0,664.0,59.0,-37.8172,144.8676,19996,1969.7206264462645,11.357142857142858,0,703.6666666666666,1502.0,135.66666666666666
ID620248771,2/12 Hodgson Gr,BENTLEIGH EAST,790000.0,u,27/11/2016,3,1.0,2.0,406.0,23.0,-37.9286,145.0737,19916,3188.5569875783985,31.35483870967742,0,925.6666666666666,4701.333333333333,308.6666666666667
ID659652530,5 Flourish Wy,WERRIBEE,463000.0,h,22/07/2017,4,2.0,2.0,358.0,7.0,-37.91807,144.63816,19921,2897.4401199371446,35.142857142857146,0,98.66666666666667,190.66666666666666,19.0
ID739572648,3 Capella St,BALWYN NORTH,1389000.0,h,22/05/2016,2,1.0,4.0,701.0,79.0,-37.7867,145.0718,19934,3014.835812697855,29.0,0,925.6666666666666,4701.333333333333,308.6666666666667
ID121018873,143 Patterson Rd,BENTLEIGH,1005000.0,h,4/06/2016,7,3.0,4.0,607.0,69.0,-37.9269,145.047,19938,1031.0064427318948,36.84615384615385,0,925.6666666666666,4701.333333333333,308.6666666666667
ID381970157,41 Highview Dr,DONCASTER,1310000.0,h,13/08/2016,3,1.0,2.0,1157.0,59.0,-37.7934,145.1336,20042,3067.244172678573,25.775,0,1566.6666666666667,8895.333333333334,491.0
ID523891089,17 Winter Ct,MILL PARK,725000.0,h,27/05/2017,5,2.0,2.0,574.0,49.0,-37.66936,145.05413,45795,2519.8531324466258,49.22222222222222,0,1508.3333333333333,6073.0,553.6666666666666
ID447909219,5 Almora Cl,FRANKSTON,545000.0,h,24/06/2017,3,2.0,2.0,571.0,59.0,-38.14444,145.16788,19855,3655.8211809730324,68.81818181818181,0,517.3333333333334,2973.0,288.6666666666667
ID540938691,4/957 Punt Rd,SOUTH YARRA,659000.0,u,7/11/2016,2,1.0,1.0,0.0,79.0,-37.8314,144.9877,19908,843.7522395541192,9.538461538461538,1,1100.6666666666667,3636.3333333333335,457.3333333333333
ID328684519,32 Wellington Rd,CLAYTON,1950000.0,h,15/07/2017,3,1.0,2.0,734.0,19.0,-37.91583,145.13363,19915,1514.4501146554676,34.25806451612903,0,56.333333333333336,98.33333333333333,19.0
ID385570354,50 Hotham Rd,NIDDRIE,1015000.0,h,22/08/2016,3,1.0,1.0,643.0,69.0,-37.736,144.8839,20036,3491.0485762020853,27.0,0,71.0,261.0,20.0
ID296915556,2 Herod Pl,ATTWOOD,640000.0,h,9/09/2017,3,2.0,2.0,607.0,64.0,-37.67379,144.89826000000005,20030,2145.12070016627,40.0,0,301.6666666666667,389.6666666666667,114.33333333333333
ID420046454,1/75 Lillimur Rd,ORMOND,475000.0,u,19/11/2016,2,1.0,1.0,0.0,8.0,-37.8986,145.042,19941,554.5101259782857,32.15384615384615,1,268.3333333333333,736.0,128.33333333333334
ID822341553,76 Saltley St,SOUTH KINGSVILLE,790000.0,h,3/06/2017,3,2.0,2.0,334.0,16.0,-37.83137,144.86731,19995,1639.4109128638045,14.333333333333334,0,987.3333333333334,2150.3333333333335,212.0
ID920152386,35 Lowe Av,ALTONA,935000.0,h,15/07/2017,4,2.0,2.0,629.0,34.0,-37.86027,144.82073,19925,837.3614006457861,28.5,0,2494.6666666666665,11307.0,1410.0
ID608585970,6/28 Manningtree Rd,HAWTHORN,1975000.0,u,18/06/2016,3,2.0,1.0,0.0,9.0,-37.8235,145.029,19905,567.9362552218719,13.952380952380953,0,1150.6666666666667,7827.0,922.3333333333334
ID287253523,34 Cobden St,KEW,1275000.0,h,19/11/2016,2,1.0,0.0,381.0,3.0,-37.8033,145.036,19904,2022.64616406512,15.666666666666666,0,271.6666666666667,771.6666666666666,74.0
ID254932669,18 Crimea St,ST KILDA,5046000.0,h,10/12/2016,5,3.0,3.0,1294.0,135.0,-37.8589,144.9883,19957,456.290714316987,15.5,0,1363.6666666666667,6287.666666666667,564.3333333333334
ID777699312,31 Rubens Gr,CANTERBURY,2900000.0,h,7/05/2016,5,2.0,2.0,795.0,109.0,-37.8181,145.0668,19892,876.1964974067536,21.785714285714285,0,3703.6666666666665,18944.0,2039.3333333333333
ID629344716,16 chesterfield Ct,WANTIRNA,951000.0,h,26/08/2017,4,2.0,2.0,704.0,38.0,-37.85639000000001,145.23536,19871,3227.290283818956,41.083333333333336,1,256.0,511.3333333333333,54.666666666666664
ID582944993,127 Princes St,FLEMINGTON,820000.0,h,9/09/2017,3,1.0,0.0,185.0,119.0,-37.78449000000001,144.93482,19971,567.4799310531426,19.0,0,2047.6666666666667,9171.0,742.3333333333334
ID569348936,2/47 Parker St,TEMPLESTOWE LOWER,678000.0,t,15/10/2016,2,1.0,1.0,340.0,39.0,-37.7564,145.1195,19986,4578.990754845647,43.9,0,2403.6666666666665,5212.333333333333,586.6666666666666
ID953430712,6 Fitzgerald Rd,ESSENDON,1607500.0,h,20/05/2017,5,3.0,1.0,695.0,119.0,-37.7577,144.9267,20037,943.2283887645302,24.0,0,330.3333333333333,1855.0,82.0
ID991205949,16 Tribe St,SOUTH MELBOURNE,2000000.0,h,15/10/2016,3,2.0,1.0,161.0,129.0,-37.8383,144.9499,20043,2234.475315745048,0.0,0,1100.6666666666667,3636.3333333333335,457.3333333333333
ID303507724,59 Hedderwick St,ESSENDON,2800000.0,h,8/10/2016,5,4.0,6.0,877.0,14.0,-37.7491,144.9002,20037,1604.5081824783242,24.0,0,334.6666666666667,1407.6666666666667,88.33333333333333
ID611347166,3/5 Evans St,BRUNSWICK,880000.0,u,10/12/2016,3,2.0,1.0,122.0,19.0,-37.7697,144.9649,19968,516.8786725486002,25.333333333333332,0,958.6666666666666,5673.0,628.0
ID173653815,16A Madden St,MAIDSTONE,798000.0,h,12/08/2017,3,2.0,2.0,159.0,9.0,-37.78974,144.88143,20023,1386.4483579777564,19.4,0,717.3333333333334,1763.0,318.6666666666667
ID115611406,1 The Esplanade,MARIBYRNONG,1350000.0,h,28/05/2016,5,3.0,5.0,670.0,94.0,-37.7676,144.9009,20038,1620.6576102302772,22.0,0,610.0,1743.6666666666667,228.0
ID912621282,182 Buckingham St,RICHMOND,1255000.0,t,17/06/2017,3,2.0,1.0,124.0,11.0,-37.8147,145.00852,19906,1434.0738573968486,11.904761904761905,0,885.0,1901.0,227.66666666666666
ID785448005,14 The Avenue,SOUTH MORANG,540000.0,h,9/09/2017,3,2.0,2.0,362.0,14.0,-37.6366,145.07226,45795,1471.988069397815,49.22222222222222,0,101.66666666666667,251.33333333333334,18.666666666666668
ID635498880,10 Talbot St,HAMPTON,2800000.0,h,27/06/2016,4,3.0,2.0,1093.0,69.0,-37.9345,145.0,19949,407.9955895713686,31.5,0,1683.6666666666667,8938.666666666666,509.3333333333333
ID917445256,4/76 Studley Park Rd,KEW,882000.0,u,4/06/2016,3,2.0,2.0,0.0,69.0,-37.8064,145.0182,19905,1766.1937216061929,13.952380952380953,0,271.6666666666667,771.6666666666666,74.0
ID954018478,15 Hall St,BRUNSWICK,1350000.0,h,15/07/2017,4,2.0,1.0,372.0,99.0,-37.76166,144.95065,19967,884.2573582983475,27.333333333333332,0,941.3333333333334,5813.0,575.6666666666666
ID306024149,3 Temple St,BRUNSWICK WEST,1080000.0,h,23/09/2017,3,1.0,2.0,218.0,69.0,-37.76563,144.94111,19968,1642.4574764558981,25.333333333333332,0,941.3333333333334,5813.0,575.6666666666666
ID632786478,45 Kerferd St,COBURG,1000000.0,h,17/09/2016,4,2.0,1.0,381.0,81.0,-37.7337,144.9548,19964,708.1387355750835,34.0,0,1071.3333333333333,5783.666666666667,419.6666666666667
